Нужнова Варвара Тихоновна
Алеева Лидия Чеславовна
Бобрик Ариадна Семеновна
Ядрихинская Яна Александровна
Лютова Ульяна Рюриковна
Мандрыкина Мирослава Архиповна
Блок Эльвира Поликарповна
Авандеева Виктория Елисеевна
Огурцова Ярослава Никоновна
Сиянских Ангелина Макаровна
Челомцева Ефросинья Романовна
Малиновская Дарья Наумовна
Макарова Надежда Аркадиевна
Ромазанова Раиса Леонидовна
Яранцева Рената Радиславовна
Аношкина Антонина Данилевна
Толбанова Елена Сигизмундовна
Лихачёва Жанна Василиевна
Белоусова Владислава Ульяновна
Венедиктова Василиса Авдеевна
Абрамовича Розалия Лаврентиевна
Ягуткина Агния Георгиевна
Сияна Людмила Евсеевна
Дырбова Изольда Захаровна
Нутрихина Татьяна Лукьяновна
Краева Галина Мефодиевна
Явчуновская Мария Трофимовна
Кирдань Вера Иосифовна
Бессмертная Алина Агафоновна
Ёжина Кристина Ярославовна
Нежданова Злата Феликсовна
Васнецова Ева Остаповна
Квятковская Дина Харитоновна
Голубкина Маргарита Прокофьевна
Якимычева Валерия Ивановна
