Коняшева Рада Кировна
Колвашева Оксана Фомевна
Таушева Анфиса Зиновьевна
Кальченко Эмма Филимоновна
Ивашова Вероника Аристарховна
Бобра Нина Святославовна
Катасонова Роза Измаиловна
Щитт Янина Рубеновна
Лебединская Евдокия Михаиловна
Целобанова Марина Юрьевна
Русакова Берта Константиновна
Кулагинская Диана Владиленовна
Кузнецова Зоя Валерьевна
Громыко Наталья Германовна
Рутберг Анна Павловна
Юханцева Екатерина Самсоновна
Попкова Инесса Мартыновна
Горяинова Любовь Кондратьевна
Крылаева Пелагея Савелиевна
Ивашина Инна Никитевна
Дрягина Софья Ильевна
Филипова Эвелина Игнатьеивна
Набоко Марта Яновна
Конакова Тамара Иннокентиевна
Конака Регина Брониславовна
Шеповалова Инга Богдановна
Уланова Марфа Вадимовна
Перешивкина Фаина Эммануиловна
Сталина Стела Сидоровна
Яблоновская Изабелла Игнатиевна
Язева Лиана Юлиевна
Кравкова Юнона Всеволодовна
Ясакова Римма Феодосьевна
Ямщикова Ника Антоновна
Ломоносова Аза Виссарионовна
Бузинская Агафья Федоровна
Федулова Кира Максимильяновна
Матвиенко Клара Гаврииловна
Пелевина Ксения Игоревна
Пересторонина Майя Владленовна
Портнова Елизавета Потаповна
Игнатенкова Зинаида Назаровна
Купревича Ефросиния Елизаровна
