0 Буданова Лилия Дмитриевна   17ПМИ 4.2
1 Ермушина Ольга Аскольдовна   17ПМИ 6.5
2 Бармыкина Валентина Адамовна   17ПМИ 5.7
3 Валеева Нона Карповна   17ПМИ 5
10 Колотушкина Лариса Вячеславовна   17ПМИ 4.6
11 Капитанчук Каролина Гавриловна   17ПМИ 5.8
12 Макушева Ирина Мироновна   17ПМИ 5.4
13 Дудко Доминика Ипполитовна   17ПМИ 6.3
14 Гринина Полина Леонидовна   17ПМИ 6.7
15 Якобсона Александра Антиповна   17ПМИ 5.3
16 Онипченко Евгения Станиславовна   17ПМИ 4.3
25 Жилина Наталия Эдуардовна   17ПМИ 5.9
23 Занина Таисия Алексеевна   17ПМИ 6.5
19 Сусоева Анастасия Викторовна   17ПМИ 7.7
20 Лямина Анисья Моисеевна   17ПМИ 5.2
22 Меркушева Ираида Борисовна   17ПМИ 6
27 Голованова Светлана Герасимовна   17ПМИ 6.2
18 Галкина Бронислава Михеевна   17ПМИ 4.8
21 Ивашечкина Эмилия Евлампиевна   17ПМИ 6.2
28 Михальченко Алиса Клавдиевна   17ПМИ 6.5
24 Яндарбиева Владлена Натановна   17ПМИ 4.6
29 Бушуева Всеслава Геннадиевна   17ПМИ 5.5
30 Рощина Лада Несторовна   17ПМИ 6
31 Морозова Марианна Кондратьевна   17ПМИ 4.5
17 Набойченко Милена Денисовна   17ПМИ 6.1
34 Алеева Лидия Чеславовна   17ПИ 4
26 Добролюбова Элеонора Тарасовна   17ПМИ 6.2
32 Яницкая Арина Евстигнеевна   17ПМИ 4.8
33 Нужнова Варвара Тихоновна   17ПИ 6.9
35 Бобрик Ариадна Семеновна   17ПИ 4
36 Ядрихинская Яна Александровна   17ПИ 4.4
38 Мандрыкина Мирослава Архиповна   17ПИ 5
40 Авандеева Виктория Елисеевна   17ПИ 5.4
44 Малиновская Дарья Наумовна   17ПИ 6.5
53 Абрамовича Розалия Лаврентиевна   17ПИ 6
55 Сияна Людмила Евсеевна   17ПИ 6.7
58 Краева Галина Мефодиевна   17ПИ 6.6
56 Дырбова Изольда Захаровна   17ПИ 4.8
59 Явчуновская Мария Трофимовна   17ПИ 7
57 Нутрихина Татьяна Лукьяновна   17ПИ 5.7
61 Бессмертная Алина Агафоновна   17ПИ 6.3
41 Огурцова Ярослава Никоновна   17ПИ 5.5
64 Васнецова Ева Остаповна   17ПИ 6.3
62 Ёжина Кристина Ярославовна   17ПИ 5.7
66 Голубкина Маргарита Прокофьевна   17ПИ 4.5
67 Якимычева Валерия Ивановна   17ПИ 5.9
42 Сиянских Ангелина Макаровна   17ПИ 6.8
45 Макарова Надежда Аркадиевна   17ПИ 7.5
68 Коняшева Рада Кировна   17БИ 5.5
70 Таушева Анфиса Зиновьевна   17БИ 5.6
37 Лютова Ульяна Рюриковна   17ПИ 4.9
39 Блок Эльвира Поликарповна   17ПИ 5.1
47 Яранцева Рената Радиславовна   17ПИ 5.4
51 Белоусова Владислава Ульяновна   17ПИ 4.7
54 Ягуткина Агния Георгиевна   17ПИ 4.2
50 Лихачёва Жанна Василиевна   17ПИ 6.2
71 Кальченко Эмма Филимоновна   17БИ 5.5
73 Бобра Нина Святославовна   17БИ 5.2
74 Катасонова Роза Измаиловна   17БИ 5.1
49 Толбанова Елена Сигизмундовна   17ПИ 5.4
75 Щитт Янина Рубеновна   17БИ 6.3
76 Лебединская Евдокия Михаиловна   17БИ 6.7
65 Квятковская Дина Харитоновна   17ПИ 4.7
72 Ивашова Вероника Аристарховна   17БИ 5.9
48 Аношкина Антонина Данилевна   17ПИ 4.1
77 Целобанова Марина Юрьевна   17БИ 6
52 Венедиктова Василиса Авдеевна   17ПИ 4.5
78 Русакова Берта Константиновна   17БИ 6
43 Челомцева Ефросинья Романовна   17ПИ 6
63 Нежданова Злата Феликсовна   17ПИ 5.3
69 Колвашева Оксана Фомевна   17БИ 5.1
4 Киприянова Альбина Тимуровна   17ПМИ 5.2
5 Ажикелямова Юлия Соломоновна   17ПМИ 6.5
6 Янушкевич Влада Артемовна   17ПМИ 6.4
7 Яковиченко Алла Эрнестовна   17ПМИ 4.5
8 Кравчук Любава Серафимовна   17ПМИ 5.6
9 Бершова Христина Андриановна   17ПМИ 5.3
81 Громыко Наталья Германовна   17БИ 5.3
110 Купревича Ефросиния Елизаровна   17БИ 5.8
98 Язева Лиана Юлиевна   17БИ 5.1
101 Ямщикова Ника Антоновна   17БИ 6
83 Юханцева Екатерина Самсоновна   17БИ 5.5
86 Крылаева Пелагея Савелиевна   17БИ 4.9
92 Конака Регина Брониславовна   17БИ 4.8
95 Перешивкина Фаина Эммануиловна   17БИ 5.9
105 Матвиенко Клара Гаврииловна   17БИ 6.9
108 Портнова Елизавета Потаповна   17БИ 4.6
103 Бузинская Агафья Федоровна   17БИ 5.8
99 Кравкова Юнона Всеволодовна   17БИ 6.4
88 Дрягина Софья Ильевна   17БИ 5.7
93 Шеповалова Инга Богдановна   17БИ 5.7
79 Кулагинская Диана Владиленовна   17БИ 5.4
80 Кузнецова Зоя Валерьевна   17БИ 4.4
82 Рутберг Анна Павловна   17БИ 4.6
87 Ивашина Инна Никитевна   17БИ 6.9
91 Конакова Тамара Иннокентиевна   17БИ 5.3
89 Филипова Эвелина Игнатьеивна   17БИ 5.9
90 Набоко Марта Яновна   17БИ 5.3
100 Ясакова Римма Феодосьевна   17БИ 4.9
104 Федулова Кира Максимильяновна   17БИ 6.3
106 Пелевина Ксения Игоревна   17БИ 5.8
84 Попкова Инесса Мартыновна   17БИ 6.7
96 Сталина Стела Сидоровна   17БИ 4.7
109 Игнатенкова Зинаида Назаровна   17БИ 6.3
107 Пересторонина Майя Владленовна   17БИ 5.8
