45 Макарова Надежда Аркадиевна   17ПИ 7.5
59 Явчуновская Мария Трофимовна   17ПИ 7
33 Нужнова Варвара Тихоновна   17ПИ 6.9
42 Сиянских Ангелина Макаровна   17ПИ 6.8
55 Сияна Людмила Евсеевна   17ПИ 6.7
58 Краева Галина Мефодиевна   17ПИ 6.6
44 Малиновская Дарья Наумовна   17ПИ 6.5
61 Бессмертная Алина Агафоновна   17ПИ 6.3
50 Лихачёва Жанна Василиевна   17ПИ 6.2
53 Абрамовича Розалия Лаврентиевна   17ПИ 6
67 Якимычева Валерия Ивановна   17ПИ 5.9
57 Нутрихина Татьяна Лукьяновна   17ПИ 5.7
41 Огурцова Ярослава Никоновна   17ПИ 5.5
40 Авандеева Виктория Елисеевна   17ПИ 5.4
63 Нежданова Злата Феликсовна   17ПИ 5.3
39 Блок Эльвира Поликарповна   17ПИ 5.1
38 Мандрыкина Мирослава Архиповна   17ПИ 5
37 Лютова Ульяна Рюриковна   17ПИ 4.9
56 Дырбова Изольда Захаровна   17ПИ 4.8
51 Белоусова Владислава Ульяновна   17ПИ 4.7
66 Голубкина Маргарита Прокофьевна   17ПИ 4.5
36 Ядрихинская Яна Александровна   17ПИ 4.4
54 Ягуткина Агния Георгиевна   17ПИ 4.2
48 Аношкина Антонина Данилевна   17ПИ 4.1
34 Алеева Лидия Чеславовна   17ПИ 4
