Зайкова Владлена Ираклиевна-4
Набадчиков Анатолий Эрнстович-4
Путинова Инна Феодосьевна-4
Сафронов Лука Изяславович-4
Яшихина Алина Макаровна-4
Богатырева Алиса Станиславовна-5
Генкина Доминика Ильевна-5
Грушецкая Инга Рубеновна-5
Дрёмов Дмитрий Мечиславович-5
Кошельков Панкратий Феоктистович-5
Натаров Егор Евгениевич-5
Осипова Элеонора Ефимовна-5
Праздников Вячеслав Игоревич-5
Синай Людмила Арсентиевна-5
Судленкова Изольда Рюриковна-5
Табаков Ираклий Андронович-5
Татаурова Наталия Елисеевна-5
Тимашёва Изабелла Якововна-5
Тимирёва Эвелина Филимоновна-5
Азарова Ксения Евлампиевна-6
Битнер Онуфрий Сократович-6
Завразина Любовь Павловна-6
Комолова Кристина Тарасовна-6
Лапунова Бронислава Елизаровна-6
Мамонтова Алина Поликарповна-6
Палюлин Мирон Алексеевич-6
Сухарев Эммануил Юриевич-6
Терентьев Лаврентий Кондратович-6
Уланов Максимильян Остапович-6
Цветков Никита Трофимович-6
Карпюк Мария Вадимовна-7
Коломников Семён Даниилович-7
ПМИ-1  -  5
ПМИ-2  -  5
ПМИ-3  -  5
