Хомичев Ростислав Кондратиевич 
Умаметев Фома Трофимович 
Кулибин Трофим Прокофиевич 
Углова Владислава Романовна 
Эверский Евсей Аникитевич 
Угличинин Кузьма Эрнстович 
Ковальчук Демьян Никанорович 
Осин Карл Захарович 
Якушкина Элеонора Никитевна 
Кияк Аркадий Давидович 
Мукосеева Доминика Владленовна 
Горева Злата Евгениевна 
Тукай Аза Филипповна 
Сенотрусова Диана Владиленовна 
Маланов Геннадий Серафимович 
Шакмаков Денис Владиславович 
Сафонова Дарья Давидовна 
Бальсунов Станислав Ермолаевич 
Каблукова Оксана Ефимовна 
Штыкова Ангелина Феликсовна 
Деревскова Евдокия Василиевна 
Кожуров Аристарх Левович 
Кирилловский Георгий Ираклиевич 
Ряхина Клара Брониславовна 
Кислицына Анастасия Андреевна
Мартиросян Елизавета Робертовна
Щеголяева Доминика Олеговна 
Бояров Эдуард Ульянович 
Майсака Любава Романовна 
Перевалов Эрнест Леонидович 
Кинжаев Никон Капитонович 
Богатырёв Игнатий Никонович 
